# Fx,Fy,Fz
-1.669434087769872121e-05,-2.082598064656604464e-05,-1.401522461936394182e-06
-1.234998728932845680e-05,-5.281662378869844687e-06,-1.598134713114152117e-05
1.655418913464046238e-05,-5.457190109803278233e-07,-2.069539058498215400e-05
-6.364846466376181122e-06,1.336636607002228416e-05,-2.871828937633935652e-05
2.278644620767877882e-06,-2.029445139467567216e-06,1.119762431668613889e-05
-1.749778446626625017e-05,-7.486659300490194902e-06,-4.439397501259517709e-07
1.402683935319316844e-05,1.143272415650431473e-05,1.741129334892344005e-05
2.279449496586649637e-05,-1.375036049017230866e-05,-2.729197219331069846e-06
3.405489589496449310e-05,-1.808206479184809590e-05,1.565084119175413901e-05
-7.334338321667022154e-06,2.722284924198438427e-05,-2.008202980861503728e-05
-4.324555133869076307e-05,2.222660031636625177e-06,1.628249328586642286e-05
1.367913407609999688e-05,-3.308645491516271075e-05,-4.822275317811763884e-06
9.865071479153719736e-08,4.684374717328632087e-05,3.433173950712770095e-05
